GO ID	GO name	Genes in GO	Children of GO	Parents of GO
GO:0019288	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway	ispG,ispD,ispE,ispH,ispF,dxs,dxr,	GO:0051484,	GO:0006090,GO:0009240,GO:0019682,
GO:0051484	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway involved in terpenoid biosynthetic process	dxr,		GO:0019288,
GO:0006744	ubiquinone biosynthetic process	ubiE,ubiC,ubiI,ubiH,ubiJ,ubiA,ubiB,ispB,ubiF,ubiD,ispF,ubiX,ubiG,dxs,	GO:0032150,GO:0032194,GO:0032180,GO:0032193,GO:1901006,	GO:1901663,GO:0006743,
GO:0008615	pyridoxine biosynthetic process	pdxB,serC,pdxK,epd,pdxJ,pdxA,pdxH,dxs,		GO:0042819,GO:1901617,GO:0019438,GO:0008614,
GO:0052865	1-deoxy-D-xylulose 5-phosphate biosynthetic process	dxs,		GO:0090407,GO:1901137,GO:0052863,
GO:1903712	cysteine transmembrane transport	tcyN,tcyP,tcyL,tcyJ,eamB,		GO:0003333,GO:0042883,
GO:0005990	lactose catabolic process	lacZ,ebgA,	GO:0019512,GO:0019513,GO:0019515,	GO:0046352,GO:0005988,
GO:0009636	response to toxic substance	hmp,emrB,ecnB,ecnA,ridA,tehB,kefC,yiiM,	GO:0010188,GO:0097237,GO:0093002,GO:0060992,GO:0017085,GO:0009635,GO:0010046,	GO:0042221,
GO:0010466	negative regulation of peptidase activity	eco,	GO:2000157,GO:0035940,GO:1905049,GO:1905246,GO:1902572,GO:0010951,	GO:0045861,GO:0052547,GO:0051346,
GO:0010951	negative regulation of endopeptidase activity	eco,yfhM,	GO:2000117,GO:1900004,GO:1904684,	GO:0052548,GO:0010466,
GO:0009255	Entner-Doudoroff pathway through 6-phosphogluconate	edd,		GO:0061678,GO:0019682,
GO:0015684	ferrous iron transport	fieF,efeU_1,mntH,efeB,efeO,zupT,feoB,	GO:0070627,GO:1903874,	GO:0006826,GO:0070838,
GO:0006827	high-affinity iron ion transmembrane transport	efeU_1,	GO:0015683,	GO:0034755,
GO:1903874	ferrous iron transmembrane transport	fieF,efeU_1,zupT,feoB,	GO:1903988,GO:0098707,	GO:0034755,GO:0015684,
GO:0006414	translational elongation	fusA,lepA,yeiP,tufB,tufA,efp,tsf,	GO:0070929,GO:0002182,GO:0006452,GO:0006451,GO:0072344,GO:0070125,	GO:0034645,
GO:0043043	peptide biosynthetic process	yeiP,efp,	GO:2001310,GO:0002777,GO:0050763,GO:1901124,GO:0035499,GO:0002936,GO:1901103,GO:0006412,GO:0030651,GO:1900805,GO:0019184,GO:0046938,	GO:0043604,GO:0006518,GO:1901566,
GO:0006474	N-terminal protein amino acid acetylation	yiaC,yedL,elaA,rimL,rimI,yhhY,speG,ypeA,rimJ,mnaT,yjaB,yjhQ,	GO:0018001,GO:0017198,GO:0017199,GO:0017192,GO:0048275,GO:0018275,GO:0018076,GO:0017190,GO:0017197,GO:0017193,GO:0018002,GO:0017189,GO:0017194,GO:0017196,GO:0018000,	GO:0031365,GO:0006473,
GO:0016579	protein deubiquitination	elaD,	GO:1990167,GO:0071108,GO:0044313,GO:0035523,GO:0016578,GO:0071947,GO:1990108,GO:0035520,GO:1990168,GO:0035871,GO:0070536,	GO:0070646,
GO:0045828	positive regulation of isoprenoid metabolic process	elbB,	GO:0010372,GO:1904143,GO:0045929,GO:1901544,GO:1900054,GO:1904964,GO:1900486,GO:1900946,	GO:0019747,GO:0045834,GO:0031325,
GO:0009297	pilus assembly	ybgQ,sfmD,ybjN,yraJ,fimF,elfC,fimD,yehB,yhcD,fimI,hofQ,htrE,	GO:0043683,	GO:0043711,GO:0030031,
GO:0043711	pilus organization	yraI,elfC,yadV,fimC,elfD,yehB,yehC,ycbF,sfmD,yfcS,yraJ,fimG,sfmC,ybgP,yhcA,yqiH,htrE,	GO:0043108,GO:0009297,	GO:0030030,
GO:0043164	Gram-negative-bacterium-type cell wall biogenesis	ldtB,elyC,ldtD,ldtE,mtgA,ldtA,ispU,ldtC,		GO:0009273,
GO:0006805	xenobiotic metabolic process	mnmE,emrE,nemA,yieF,	GO:0018926,GO:0018906,GO:0018954,GO:0018892,GO:0018938,GO:0018968,GO:0018965,GO:0018934,GO:0018909,GO:0018865,GO:0042178,GO:0018891,GO:0018964,GO:0018939,GO:0018937,GO:0017143,GO:0018890,GO:0018905,GO:0052697,GO:0018883,GO:0018928,GO:0018945,GO:0018866,GO:0018969,GO:0018864,GO:0018981,GO:0018902,GO:0042198,GO:0018872,GO:0042197,	GO:0044237,
GO:0031460	glycine betaine transport	emrE,yehX,proP,osmF,proV,yehY,yehW,		GO:0072337,GO:0015838,
GO:0006308	DNA catabolic process	xseA,tatD,sbcB,endA,mcrB,xseB,ycfH,yjjV,	GO:0000738,GO:0039637,GO:0032043,GO:0000737,	GO:0044265,GO:0034655,GO:0006259,
GO:0009239	enterobactin biosynthetic process	entC,ybdZ,entH,entF,entE,entA,entB,entD,		GO:0019540,GO:0009713,GO:0018130,GO:0009238,
GO:0019290	siderophore biosynthetic process	entE,entA,	GO:0019540,GO:0042864,GO:0042861,GO:0002049,GO:0042858,GO:0019539,	GO:0051188,GO:0044550,GO:0019184,GO:0009237,
GO:0043041	amino acid activation for nonribosomal peptide biosynthetic process	entF,	GO:0043040,GO:0043042,	GO:0043038,
GO:0015891	siderophore transport	fhuE,yncD,fhuA,fecA,fepA,fiu,entS,tonB,	GO:0044718,GO:0042932,GO:0042935,GO:0015687,GO:0042930,GO:0015686,	GO:0015688,
GO:0042930	enterobactin transport	tolC,entS,fepB,		GO:0015850,GO:0015891,
GO:0000920	cell separation after cytokinesis	nlpD,ftsK,envC,ygeR,mepM,		GO:0009987,
GO:0001896	autolysis	nlpD,envC,ygeR,mepM,		GO:0012501,
GO:0009273	peptidoglycan-based cell wall biogenesis	ynbB,envC,	GO:0071766,GO:0043164,	GO:0042546,
GO:0051345	positive regulation of hydrolase activity	nlpD,envC,	GO:1904112,GO:1905182,GO:1903022,GO:0051423,GO:0043547,GO:0051096,GO:0051343,GO:0032075,GO:1903629,GO:0010922,GO:0060193,GO:1903017,GO:1903771,GO:1902546,GO:2000576,GO:0043104,GO:1905125,GO:1903399,GO:1903007,GO:0032781,GO:1903592,GO:0090045,GO:0010952,	GO:0051336,GO:0043085,
GO:0047484	regulation of response to osmotic stress	envZ,	GO:1902218,GO:0000169,GO:0000173,GO:0000168,GO:0000167,GO:1901000,	GO:0080134,
GO:0042823	pyridoxal phosphate biosynthetic process	pdxB,pdxA,serC,epd,	GO:0009443,GO:0036001,	GO:0042822,GO:0009108,GO:1901576,
GO:0006430	lysyl-tRNA aminoacylation	lysS,epmA,lysU,	GO:0070154,	GO:0006418,
GO:0043687	post-translational protein modification	epmA,epmC,epmB,roxA,iap,	GO:0071587,GO:0061606,GO:0018410,GO:0034421,	GO:0006464,
GO:0071915	protein-lysine lysylation	epmA,		GO:0018205,
GO:0072581	protein-N6-(L-lysyl)-L-lysine modification to protein-N6-(beta-lysyl)-L-lysine	epmA,		GO:0018205,
GO:1901260	peptidyl-lysine hydroxylation involved in bacterial-type EF-P lysine modification	epmC,		GO:0017185,
GO:0009244	lipopolysaccharide core region biosynthetic process	waaB,waaC,waaY,eptC,waaZ,gmhB,waaG,waaL,waaU,waaS,waaJ,waaA,rfaE,lpcA,waaP,waaQ,rfaD,waaF,waaO,lpxK,		GO:0009312,GO:0046401,
GO:0042274	ribosomal small subunit biogenesis	rimP,rimM,ybeY,rsgA,era,		GO:0022613,
GO:0097428	protein maturation by iron-sulfur cluster transfer	iscU,iscA,sufA,hscB,erpA,nfuA,hscA,		GO:0051604,
GO:0019076	viral release from host cell	rzoR,essQ,rzoD,essD,	GO:0046753,GO:0044659,	GO:0035891,GO:0016032,
GO:0019835	cytolysis	yqfA,hlyE,rzoR,rrrD,rzpR,rzpD,ortT,essQ,rzoD,rrrQ,essD,	GO:0051715,	GO:0009987,
GO:0044659	cytolysis by virus of host cell	rrrD,essD,	GO:0044660,GO:0039640,	GO:0044661,GO:0019076,GO:0039633,GO:0001897,
GO:0038083	peptidyl-tyrosine autophosphorylation	wzc,etk,		GO:0046777,GO:0018108,
GO:0045226	extracellular polysaccharide biosynthetic process	rffH,rfbB,yjbE,rffG,rfbC,ydcK,yjbH,yjbG,etk,wzc,rfbD,yjbF,rfbA,	GO:0045228,GO:0045227,	GO:0046379,GO:0033692,
GO:0035335	peptidyl-tyrosine dephosphorylation	ynbD,etp,wzb,	GO:1901920,GO:1990264,	GO:0006470,
GO:0045900	negative regulation of translational elongation	ettA,raiA,	GO:1904570,GO:2001125,GO:1900248,GO:1905083,	GO:0017148,GO:0006448,
GO:0030091	protein repair	pcm,msrA,ytfE,fre,msrB,eutA,	GO:0036525,GO:0010206,	GO:0044267,
GO:0046336	ethanolamine catabolic process	eutJ,eutE,eutS,eutA,eutT,eutP,eutQ,eutG,eutH,eutD,eutK,eutN,eutB,eutL,eutC,eutM,		GO:0034310,GO:1901161,GO:0042402,GO:0006580,
GO:0051349	positive regulation of lyase activity	eutA,	GO:0031284,GO:1903200,GO:1904234,GO:1904043,GO:0045762,	GO:0051339,GO:0043085,
GO:0034229	ethanolamine transport	eutH,		GO:0015850,GO:0015837,
GO:0006576	cellular biogenic amine metabolic process	eutP,yoeF,	GO:0042401,GO:0006595,GO:0042443,GO:0030417,GO:0006586,GO:0042402,GO:0001692,GO:0042439,	GO:0044106,
GO:0019243	methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione	yeiG,yhbO,gloC,ykgA,eutR,gloA,hchA,gloB,yajL,		GO:0061727,
GO:0019249	lactate biosynthetic process	yhbO,hchA,ykgA,eutR,yajL,	GO:0019248,GO:0019244,GO:0036530,	GO:0006089,GO:0072330,
GO:0006580	ethanolamine metabolic process	eutT,eutS,	GO:0046336,GO:0046335,	GO:0034308,GO:1901160,GO:0042439,
GO:0050821	protein stabilization	skp,exbB,ibpA,ibpB,surA,slyD,exbD,		GO:0031647,
GO:0015736	hexuronate transport	exuT,	GO:0015737,GO:0015738,	GO:0015735,
GO:0015778	hexuronide transport	exuT,		GO:0008643,
GO:0030497	fatty acid elongation	fabG,fabI,	GO:0019367,GO:0019368,	GO:0006633,
GO:0006635	fatty acid beta-oxidation	fadM,fadJ,fadI,fadD,fadE,fadB,fadA,	GO:0033539,GO:0033541,GO:0033540,GO:0033542,	GO:0019395,GO:0009062,
GO:0016042	lipid catabolic process	fadJ,yjjU,pgpC,pgpA,fadI,pldA,fadB,pgpB,hdhA,fadA,	GO:1903174,GO:0036101,GO:1900556,GO:0006706,GO:0044242,GO:1903965,GO:1901752,GO:0044240,GO:1900534,	GO:1901575,GO:0044712,GO:0006629,
GO:0009062	fatty acid catabolic process	tesB,fadB,	GO:0019626,GO:0036100,GO:0001561,GO:0044580,GO:0032323,GO:0051793,GO:0042758,GO:1990486,GO:0006635,GO:0042760,	GO:0072329,GO:0044242,GO:0006631,
GO:0001676	long-chain fatty acid metabolic process	fadD,	GO:0036109,GO:0051121,GO:0019369,GO:0042759,GO:0043651,GO:0042758,	GO:0006631,
GO:0006637	acyl-CoA metabolic process	tesB,fadD,	GO:2001293,GO:0006104,GO:0046491,GO:0071616,GO:0035337,GO:1901787,GO:1902858,GO:0006084,GO:1901885,	GO:0035383,GO:0006732,
GO:0033543	fatty acid beta-oxidation, unsaturated, even number, reductase/isomerase pathway	fadH,		GO:0033542,
GO:0033542	fatty acid beta-oxidation, unsaturated, even number	fadI,	GO:0033544,GO:0033543,	GO:0006635,
GO:0019395	fatty acid oxidation	fadK,fadR,	GO:0006635,GO:0001561,GO:0010430,	GO:0034440,GO:0006631,
GO:0015718	monocarboxylic acid transport	fadL,	GO:0042889,GO:0015887,GO:0015735,GO:0042919,GO:0015721,GO:0006846,GO:0015714,GO:0042873,GO:0015724,GO:0015896,GO:0015733,GO:0015727,GO:1900866,GO:0032782,GO:0015908,GO:2001142,GO:0015878,GO:1900754,GO:0046411,GO:1901688,GO:0015719,GO:0015728,GO:0006848,GO:0080168,	GO:0046942,
GO:0015909	long-chain fatty acid transport	fadL,	GO:1903963,GO:0015910,GO:0015911,GO:0006853,	GO:0015908,
GO:0019217	regulation of fatty acid metabolic process	fadR,	GO:1900333,GO:0050812,GO:0046320,GO:0042304,GO:0045922,GO:0080140,GO:0045923,GO:1900497,	GO:0010565,GO:0019216,
GO:0045723	positive regulation of fatty acid biosynthetic process	fadR,	GO:2001280,GO:1900502,GO:1900496,	GO:0042304,GO:0031328,GO:0045923,GO:0046889,
GO:0009396	folic acid-containing compound biosynthetic process	pabB,fau,folP,folK,folD,	GO:0046901,GO:0046654,GO:0046656,GO:0006761,	GO:0042559,GO:0042398,GO:0009108,GO:0006760,
GO:0022611	dormancy process	fau,yigB,obgE,hipA,tisB,hokB,	GO:0071982,GO:0097436,GO:0075214,GO:0097439,GO:0085016,GO:0055115,GO:0097438,GO:0097207,GO:0085014,GO:0042750,GO:0085015,GO:0097437,GO:0071981,GO:0010162,GO:0042751,	GO:0032502,
GO:0035999	tetrahydrofolate interconversion	fau,metF,metH,metE,folD,glyA,		GO:0046653,GO:0006730,
GO:0006094	gluconeogenesis	glpX,ppsA,pgi,fbp,sdaA,tdcG,maeA,sdaB,pck,tpiA,yggF,gpmA,		GO:0006006,GO:0019319,
GO:0016051	carbohydrate biosynthetic process	opgD,fbp,opgG,	GO:0046364,GO:0034637,GO:0009312,GO:0000271,GO:0019685,	GO:0044723,GO:0044711,GO:1901576,
GO:0042351	'de novo' GDP-L-fucose biosynthetic process	gmd,fcl,		GO:0042350,
GO:0043085	positive regulation of catalytic activity	lpoB,hybD,hyaD,sufE,ptsH,hycI,ssb,ftsK,fre,fdhD,	GO:0051351,GO:0051349,GO:0051345,GO:0031281,GO:0051347,GO:0051353,GO:0043946,GO:1904175,GO:0010912,	GO:0050790,GO:0044093,
GO:0015942	formate metabolic process	fdhF,	GO:2001127,GO:0019664,GO:0019557,GO:0042183,GO:0019621,GO:0015944,GO:0015943,	GO:0032787,
GO:0015944	formate oxidation	fdnH,fdnG,fdoI,fdoH,fdnI,fdoG,fdhF,		GO:0015942,GO:0055114,
GO:0045333	cellular respiration	fdnH,fdnG,fdoI,fdoH,fdnI,fdoG,	GO:0009061,GO:0009060,	GO:0015980,
GO:0006104	succinyl-CoA metabolic process	yahF,fdrA,sucD,	GO:1901290,GO:0006781,GO:1901289,GO:0033527,GO:0019457,	GO:0006637,
GO:0006105	succinate metabolic process	yahF,fdrA,sucD,sdhE,	GO:0019664,GO:0006540,GO:0019657,GO:0019545,	GO:0043648,
GO:0009142	nucleoside triphosphate biosynthetic process	ndk,yahF,fdrA,sucD,	GO:0009148,GO:0009202,GO:0009201,GO:0009145,	GO:1901293,GO:0009141,
GO:0006559	L-phenylalanine catabolic process	tynA,feaB,	GO:0019561,GO:0019562,	GO:0006558,GO:0009063,
GO:0009435	NAD biosynthetic process	nadE,nadD,nadA,phnN,feaB,pncB,nadB,nadR,nadC,	GO:0034356,GO:0034627,GO:0034355,	GO:0019359,GO:0019674,
GO:0046196	4-nitrophenol catabolic process	feaB,		GO:0042178,GO:0018960,GO:0019336,
GO:0070627	ferrous iron import	feoA,	GO:0097460,	GO:0015684,GO:0097286,
GO:0015685	ferric-enterobactin transport	fepE,fepG,fepA,fepD,		GO:1901678,GO:0015711,GO:0015682,
GO:0042914	colicin transport	fepA,tonB,	GO:0042915,	GO:0043213,
GO:0034755	iron ion transmembrane transport	fepC,	GO:0006827,GO:1990925,GO:0098711,GO:1903874,GO:0000040,	GO:0006826,GO:0098662,
GO:0046214	enterobactin catabolic process	fes,		GO:0019614,GO:0046215,GO:0009238,GO:0046700,
GO:0006612	protein targeting to membrane	ftsY,ffh,	GO:0072661,GO:0043329,GO:0072693,GO:0036228,GO:0006613,GO:0006620,GO:0045046,GO:0044395,GO:0045038,	GO:0006605,GO:0072657,GO:0090150,GO:1902582,
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	ftsY,ffh,		GO:0045047,GO:0006613,
GO:0015688	iron chelate transport	fhuC,	GO:0015891,	GO:1901678,
GO:0006829	zinc II ion transport	znuA,zupT,fieF,ydaN,zitB,zntA,znuC,znuB,	GO:0071577,	GO:0000041,GO:0070838,
GO:0006876	cellular cadmium ion homeostasis	fieF,		GO:0072503,GO:0055073,GO:0046916,
GO:0006882	cellular zinc ion homeostasis	fieF,		GO:0072503,GO:0055069,GO:0046916,
GO:0015691	cadmium ion transport	fieF,mntH,	GO:0070574,	GO:0000041,GO:0070838,
GO:0061088	regulation of sequestering of zinc ion	fieF,zitB,	GO:0061090,GO:0061089,	GO:0050794,GO:2000021,GO:0032879,
GO:0070574	cadmium ion transmembrane transport	fieF,zntA,mntH,zupT,		GO:0015691,GO:0098662,
GO:0071577	zinc II ion transmembrane transport	fieF,zitB,ydaN,zntA,znuC,zupT,pitA,	GO:0071578,GO:0006830,GO:0006831,	GO:0098662,GO:0006829,
GO:0015074	DNA integration	yagA,fimE,intS,insD-1,intZ,insK,insD,intE,fliZ,intQ,intD,insF-1,xerD,intF,insI-3,pinQ,pinE,fimB,insO-2,intB,pinR,intR,insI-2,intA,xerC,insI-1,	GO:0070893,	GO:0006259,
GO:0034401	chromatin organization involved in regulation of transcription	fis,	GO:0097549,	GO:0006325,
GO:0042884	microcin transport	yojI,sbmA,yejA,yejF,fiu,yejE,yejB,	GO:0042885,	GO:0042891,GO:0015833,
GO:0000413	protein peptidyl-prolyl isomerization	ppiD,fklB,ppiC,surA,fkpB,fkpA,ppiB,tig,ppiA,slyD,	GO:0000412,	GO:0018208,
GO:0044781	bacterial-type flagellum organization	flgN,fliP,flhD,flgA,fliJ,flhE,flgG,flhA,fliI,fliS,fliH,flgM,flhB,fliO,fliK,fliT,flgJ,flgD,flhC,	GO:0044780,	GO:1902589,GO:0030030,
GO:0071978	bacterial-type flagellum-dependent swarming motility	yciG,flgE,flgB,ycdX,flgF,flgG,yfiR,fliL,pgrR,ycdY,flgC,flgD,		GO:0071973,
GO:0044780	bacterial-type flagellum assembly	fliG,flgN,frdC,fliR,fliK,flgK,flhD,fliQ,flgJ,flhA,frdA,fliI,frdB,flhB,		GO:0070925,GO:0044781,GO:0030031,
GO:0045861	negative regulation of proteolysis	flgM,	GO:0060190,GO:0010955,GO:0010466,GO:0090086,GO:1903051,GO:0051045,	GO:0030162,GO:0032269,
GO:0009306	protein secretion	tatE,fliP,secE,gspK,secG,flhA,gspD,yhiI,hofQ,tatB,hofC,tamB,flhB,tamA,gspF,fliQ,tatA,	GO:0048305,GO:0050663,GO:0070560,GO:0061355,GO:0015628,GO:0030254,GO:1990773,GO:0030073,GO:0070459,GO:0036394,GO:0002001,GO:0030253,GO:0033299,GO:0030255,GO:0046819,GO:0044315,GO:0070162,GO:0038055,GO:1990747,GO:0033103,	GO:0032940,GO:0015031,
GO:1902208	regulation of bacterial-type flagellum assembly	ybjN,flhD,flhC,	GO:1902209,GO:1902210,	GO:1902115,GO:0060491,
GO:0001123	transcription initiation from bacterial-type RNA polymerase promoter	rpoD,rpoS,rpoH,fliA,		GO:0006352,
GO:0030435	sporulation resulting in formation of a cellular spore	rpoH,fliA,	GO:0043936,GO:0043935,	GO:0030154,GO:0043934,GO:0048646,
GO:0030254	protein secretion by the type III secretion system	fliI,		GO:0071806,GO:0009306,
GO:0050918	positive chemotaxis	fliM,	GO:0010183,GO:0061642,GO:0035232,GO:0021951,GO:0052221,GO:0021841,GO:0052131,GO:0016200,GO:0021835,	GO:0006935,
GO:0006605	protein targeting	secY,secA,secD,fliR,secB,secF,secE,	GO:0006612,GO:0045036,GO:0099613,GO:0006626,GO:0044744,GO:0006623,GO:0045047,GO:0000042,GO:0006625,	GO:0006886,
GO:1903506	regulation of nucleic acid-templated transcription	rssB,fliZ,	GO:2000325,GO:1900259,GO:0006355,GO:1903508,GO:1903507,	GO:2001141,
GO:0006413	translational initiation	infA,infB,yciH,infC,fmt,	GO:0070124,GO:0002183,	GO:0044237,
GO:0019988	charged-tRNA amino acid modification	fmt,	GO:0071951,GO:0043688,GO:0001717,GO:0071952,GO:0043685,GO:0001720,	GO:0006464,GO:0006400,
GO:0071951	conversion of methionyl-tRNA to N-formyl-methionyl-tRNA	fmt,		GO:0019988,
GO:0071731	response to nitric oxide	fnr,norV,	GO:0071732,	GO:1901698,GO:0010035,GO:0000302,
GO:0015724	formate transport	focA,focB,	GO:0046721,	GO:0015718,
GO:0006545	glycine biosynthetic process	folA,ltaE,glyA,	GO:0019265,GO:0019264,	GO:0008652,GO:0006544,GO:0009070,
GO:0006730	one-carbon metabolic process	metK,folM,folA,metF,folE,purU,folC,folD,glyA,	GO:0035999,GO:0019496,	GO:0044763,GO:0044237,GO:0044281,
GO:0009257	10-formyltetrahydrofolate biosynthetic process	folM,folA,purU,folC,		GO:0009256,GO:0046654,
GO:0031427	response to methotrexate	folA,	GO:0071414,	GO:1901700,GO:0014070,GO:0010243,GO:0001101,
GO:0046654	tetrahydrofolate biosynthetic process	pabB,folA,metF,pabC,nudB,folK,folE,folP,folB,folC,pabA,	GO:0009257,	GO:0046653,GO:0009396,
GO:0046656	folic acid biosynthetic process	pabB,folM,folA,pabC,nudB,folK,folP,folB,folC,pabA,		GO:0042364,GO:0043604,GO:0016053,GO:0046655,GO:0009396,
GO:0006760	folic acid-containing compound metabolic process	folB,folX,	GO:0046653,GO:0046452,GO:0046900,GO:0009397,GO:0046655,GO:0009396,	GO:0006732,GO:0006575,GO:0042558,
GO:0006761	dihydrofolate biosynthetic process	folC,		GO:0046452,GO:0009396,
GO:0046901	tetrahydrofolylpolyglutamate biosynthetic process	folC,		GO:0046900,GO:0009396,
GO:0000105	histidine biosynthetic process	hisG,hisB,hisL,hisI,hisF,hisC,hisD,hisH,folD,hisA,		GO:0008652,GO:0006547,
GO:0006164	purine nucleotide biosynthetic process	purN,purD,purB,purE,purK,purM,purU,purC,folD,guaB,purF,purA,purR,purH,purT,guaA,purL,	GO:0032261,GO:0009153,GO:0052652,GO:0009152,	GO:0009165,GO:0072522,GO:0006163,
GO:0006729	tetrahydrobiopterin biosynthetic process	folE,		GO:0042559,GO:0046146,GO:0009108,
GO:0008616	queuosine biosynthetic process	queA,tgt,queD,folE,queC,queE,queF,queG,	GO:1990397,	GO:0046116,GO:0042455,
GO:0035998	7,8-dihydroneopterin 3'-triphosphate biosynthetic process	folE,		GO:0090407,GO:0051188,GO:0051066,GO:0042559,GO:0006796,
GO:0042558	pteridine-containing compound metabolic process	folP,metH,	GO:2001115,GO:0019889,GO:0042559,GO:0051067,GO:0051066,GO:0046146,GO:1900869,GO:0006760,GO:0042560,	GO:1901360,GO:0046483,GO:0006725,GO:1901564,
GO:0044237	cellular metabolic process	ispG,folP,rnd,recQ,metH,	GO:0006725,GO:0044107,GO:0043449,GO:0010191,GO:0044255,GO:0097354,GO:0046483,GO:0006091,GO:0006575,GO:0006730,GO:0006805,GO:0072593,GO:0044262,GO:0042180,GO:0072592,GO:0042133,GO:0006413,GO:0044248,GO:0034641,GO:0015979,GO:0006790,GO:0090345,GO:0018942,GO:0009404,GO:0017144,GO:2001290,GO:0006081,GO:0046950,GO:0001887,GO:0042810,GO:0044249,GO:0051186,GO:0034754,GO:0008218,GO:0006793,GO:0043446,GO:0009850,GO:0044260,GO:0006082,GO:0043452,	GO:0008152,GO:0009987,
GO:0006001	fructose catabolic process	fruK,fpr,	GO:0061624,GO:0061616,GO:0019576,GO:0019325,GO:0061625,	GO:0019320,GO:0006000,
GO:0033611	oxalate catabolic process	frc,oxc,		GO:0043649,GO:0033609,
GO:0006113	fermentation	mdh,frdC,hyaA,frdD,hyaC,hyaB,frdA,frdB,	GO:0019666,GO:0019660,GO:0044812,GO:0019662,GO:0030645,GO:0044836,GO:0043464,GO:0019654,GO:0019659,GO:0019665,	GO:0015980,
GO:0006106	fumarate metabolic process	fumC,frdD,	GO:0019508,GO:0019445,GO:0019551,GO:0019460,	GO:0043648,
GO:0030393	fructoselysine metabolic process	frlA,	GO:1901282,GO:1901281,	GO:0030389,GO:0006082,GO:1901564,
GO:0046348	amino sugar catabolic process	frlC,murQ,	GO:0046346,GO:0030392,GO:0019278,GO:1901072,GO:2001314,GO:0006049,	GO:1901136,GO:0006040,
GO:0006069	ethanol oxidation	frmA,		GO:0006067,GO:0055114,
GO:0046294	formaldehyde catabolic process	yeiG,frmB,frmA,		GO:0044282,GO:0046185,GO:0046292,
GO:0046292	formaldehyde metabolic process	frmB,	GO:0019649,GO:0046294,GO:0046293,	GO:0006081,GO:0044281,
GO:0002184	cytoplasmic translational termination	frr,		GO:0006415,
GO:0043470	regulation of carbohydrate catabolic process	murR,frsA,	GO:2000912,GO:0043471,GO:2000991,GO:2001000,GO:2000988,GO:0006110,GO:2000963,GO:2000957,GO:2000936,GO:2000898,GO:1904023,GO:0034233,GO:2000927,	GO:0006109,GO:0009894,
GO:0015755	fructose transport	fruA,frwB,frvB,mngA,fucP,fryB,frwD,	GO:1902334,GO:0032445,	GO:0008645,
GO:0032445	fructose import	manY,fruB,fruA,manZ,manX,	GO:1990539,	GO:0015755,
GO:0006000	fructose metabolic process	fsaB,fsaA,	GO:0006001,GO:0046370,	GO:0019318,
GO:0009651	response to salt stress	lepA,ftsK,uspC,	GO:0071472,GO:0042538,GO:0072342,GO:0043157,GO:0042539,	GO:0006970,
GO:0000917	barrier septum assembly	minD,zapD,zapC,zapA,sulA,ftsZ,yciB,ftsN,minC,nlpD,yihA,zapB,ftsQ,zipA,		GO:0090529,GO:1902410,
GO:0015836	lipid-linked peptidoglycan transport	ftsW,murJ,		GO:0015835,
GO:0051258	protein polymerization	ftsZ,	GO:0010994,GO:0045107,GO:0046785,GO:0003373,GO:0030041,	GO:0043623,
GO:0006004	fucose metabolic process	fucR,fucA,fucO,fucU,fucP,fucI,fucK,	GO:0042353,GO:0019317,GO:0042354,	GO:0019318,
GO:0019317	fucose catabolic process	fucA,fucO,fucI,fucK,	GO:0042355,GO:0019325,	GO:0019320,GO:0006004,
GO:0019571	D-arabinose catabolic process	fucA,fucI,fucK,	GO:0019573,	GO:0019568,GO:0046372,
GO:0042846	glycol catabolic process	fucO,	GO:0034078,GO:0051144,	GO:0034313,GO:0042844,
GO:0051143	propanediol metabolic process	fucO,	GO:0019589,GO:0051144,	GO:0042844,
GO:0015757	galactose transport	ytfR,yjfF,mglA,ytfT,galP,fucP,ytfQ,ompL,		GO:0008645,
GO:0042354	L-fucose metabolic process	fucU,	GO:0042355,GO:0006005,	GO:0006004,
GO:0006091	generation of precursor metabolites and energy	fumB,fumA,	GO:0006757,GO:0015975,GO:0015980,GO:0006119,GO:0009765,GO:0022900,GO:0061719,GO:0019684,	GO:0044237,
GO:0009450	gamma-aminobutyric acid catabolic process	gabT,puuE,sad,gabP,gabD,		GO:0009063,GO:0009448,
GO:0015812	gamma-aminobutyric acid transport	gabP,	GO:0051939,GO:0014051,	GO:0046942,GO:0071705,
GO:0009448	gamma-aminobutyric acid metabolic process	gabT,puuE,	GO:0009449,GO:0009450,	GO:0006520,
GO:0006536	glutamate metabolic process	gadB,gadA,	GO:0006537,GO:0033054,GO:0019557,GO:0006538,GO:0019544,GO:0010133,GO:0019676,GO:0033526,GO:0019556,	GO:0009064,GO:0043648,
GO:0006012	galactose metabolic process	galE,galR,galK,galM,galT,	GO:0019388,GO:0046369,GO:0061612,GO:1901356,	GO:0019318,
GO:0033499	galactose catabolic process via UDP-galactose	galE,galU,galK,galM,galT,		GO:0019388,
